student_id,family_income,parent1_education,parent2_education,family_size,single_parent_household,neighborhood_median_income,urban_rural,high_school_gpa,sat_math,sat_reading,ap_classes_taken,extracurricular_activities,volunteer_hours,university_tier,major_category,scholarship_amount,working_student,graduation_rate,sat_total,student_name,ses_score
12,149440,Some College,High School,3,FALSE,53024,Suburban,2.33,509,575,2,3,90,Top Tier,Social Sciences,0,TRUE,0.63,1084,orjxEpJB,0.81
13,188241,High School,Some College,4,FALSE,81852,Rural,3.18,306,462,4,4,60,Mid Tier,Social Sciences,1000,TRUE,0.86,768,LJJXJNcQ,1.25
14,65977,High School,Some College,4,FALSE,89480,Urban,3.08,709,500,3,4,200,Top Tier,Humanities,1000,FALSE,0.63,1209,cbpJiPAm,0.18
15,103213,High School,High School,2,FALSE,71428,Urban,3.38,541,370,2,1,120,Mid Tier,STEM,0,FALSE,0.72,911,IAlcGJzg,-0.01
16,189203,Less than High School,Less than High School,2,FALSE,117454,Suburban,3.76,208,753,0,2,40,Lower Tier,Arts,10000,FALSE,0.7,961,iMdTunNr,1.81
17,196081,High School,High School,2,TRUE,117884,Urban,2.37,747,556,3,5,0,Mid Tier,Business,0,TRUE,0.94,1303,hjkDaqEJ,1.55
18,41148,High School,Some College,5,TRUE,83649,Rural,3.15,533,585,3,5,30,Mid Tier,Humanities,0,FALSE,0.89,1118,EzNtFuQy,-0.5
19,105499,Less than High School,Less than High School,5,FALSE,128505,Urban,3.94,658,458,1,2,160,Mid Tier,Social Sciences,0,TRUE,0.97,1116,vYdLUSil,0.11
20,120860,High School,Doctorate,2,TRUE,53735,Urban,2.99,277,692,3,3,170,Lower Tier,Social Sciences,10000,FALSE,0.95,969,knNaHhvs,-0.1
21,182726,Master's,Bachelor's,6,FALSE,55652,Urban,2.92,475,634,0,2,30,Top Tier,Social Sciences,0,TRUE,0.86,1109,xNQiDBDg,-0.23
22,44968,High School,Bachelor's,6,TRUE,95500,Urban,2.64,647,420,0,0,0,Lower Tier,Arts,0,FALSE,0.75,1067,ksTngYIn,-1.64
23,198001,Bachelor's,Bachelor's,2,FALSE,137447,Rural,2.69,668,294,2,3,120,Mid Tier,Arts,0,FALSE,0.69,962,zxUYNAai,1.19
24,190400,Bachelor's,High School,3,FALSE,40985,Urban,2.47,411,723,3,2,150,Top Tier,Humanities,50000,TRUE,0.68,1134,AoJjJxEO,0.03
25,34839,High School,Less than High School,4,FALSE,53301,Rural,2.83,687,230,2,4,140,Lower Tier,Humanities,5000,TRUE,0.85,917,cdUxfLHM,-1.31
26,112558,Bachelor's,Some College,2,FALSE,148946,Rural,2.52,325,394,5,2,70,Mid Tier,Humanities,0,TRUE,0.89,719,yRSCEYHF,2.2
27,90237,Bachelor's,High School,4,FALSE,69845,Urban,2.73,449,538,1,2,140,Top Tier,Humanities,1000,FALSE,0.72,987,jBOoLIzu,-0.87
28,183033,High School,Bachelor's,2,FALSE,30754,Suburban,3.34,756,223,0,0,160,Mid Tier,STEM,5000,TRUE,0.6,979,XVWdMxRj,0.17
29,100455,Doctorate,Some College,3,TRUE,99664,Urban,3,393,597,2,4,90,Top Tier,Humanities,20000,TRUE,0.55,990,URpRHbib,1.01
30,170481,Master's,Less than High School,6,FALSE,148347,Suburban,2.56,239,781,3,2,130,Mid Tier,Humanities,1000,TRUE,0.52,1020,xUBUgcmj,1
31,152767,Doctorate,High School,6,FALSE,99389,Urban,2.07,464,590,5,3,20,Mid Tier,Arts,0,TRUE,0.64,1054,gIzKdTvR,-0.55
32,165990,High School,High School,2,FALSE,115936,Rural,3.15,559,286,4,0,180,Mid Tier,Humanities,0,FALSE,0.86,845,zTFakxZP,1.23
33,89859,High School,High School,2,FALSE,101354,Suburban,3.04,665,286,2,2,200,Mid Tier,Humanities,10000,FALSE,0.73,951,wLUvJPdD,0.29
34,143331,High School,High School,5,FALSE,63564,Urban,2.76,484,619,0,2,50,Mid Tier,Arts,0,TRUE,0.73,1103,TBqGRGnX,-0.8
35,20711,Bachelor's,High School,2,FALSE,70395,Suburban,3.07,378,517,5,4,60,Top Tier,STEM,0,FALSE,0.81,895,uDxhQKRU,-0.82
36,169925,Bachelor's,High School,4,FALSE,102995,Rural,3.13,594,382,2,0,180,Lower Tier,Social Sciences,1000,TRUE,0.5,976,gkpiaEOL,0.38
37,21320,Master's,Bachelor's,6,FALSE,58713,Urban,3.92,765,742,2,2,130,Lower Tier,STEM,0,FALSE,0.91,1507,kXiYZBZE,-1.74
38,57379,Some College,High School,4,TRUE,87689,Urban,3.69,464,563,3,1,160,Lower Tier,Social Sciences,5000,FALSE,0.51,1027,sjrMxCuR,0.07
39,183188,Bachelor's,Bachelor's,5,FALSE,82026,Urban,2.32,324,708,1,1,140,Mid Tier,Social Sciences,5000,TRUE,0.72,1032,yDbqmyfc,-0.82
40,130120,High School,High School,5,FALSE,148542,Suburban,3.58,565,287,3,2,60,Mid Tier,Humanities,0,FALSE,0.81,852,yVgWodtU,0.3
41,88321,Master's,Master's,5,TRUE,73696,Urban,3.35,383,734,7,3,10,Lower Tier,Social Sciences,1000,TRUE,0.72,1117,uEfmeAzO,-0.52
42,98439,Bachelor's,High School,2,FALSE,148365,Rural,2.96,238,213,1,2,120,Top Tier,Humanities,0,FALSE,0.92,451,RUyUopGC,1.05
43,26738,Bachelor's,Bachelor's,4,TRUE,103119,Rural,2.99,650,584,5,5,50,Mid Tier,Arts,1000,TRUE,0.8,1234,lFrQOtCD,-1.66
44,195237,Some College,Less than High School,5,FALSE,123410,Rural,2.32,739,382,5,2,130,Top Tier,Business,20000,TRUE,0.86,1121,IppWdlwt,1.56
45,97715,Some College,Master's,5,FALSE,93115,Urban,2.74,435,435,2,2,160,Lower Tier,Social Sciences,1000,TRUE,0.59,870,bQiYILAB,0.18
46,192364,High School,Less than High School,5,FALSE,76576,Urban,3.44,282,572,2,3,150,Mid Tier,Humanities,0,TRUE,0.69,854,IkeaCNxy,0.19
47,179796,Some College,Doctorate,3,TRUE,122799,Urban,3.35,546,515,1,2,200,Lower Tier,Humanities,0,TRUE,0.89,1061,VbAdZFBr,2.11
48,135196,Less than High School,High School,5,FALSE,97232,Urban,3.11,740,346,0,1,70,Lower Tier,Social Sciences,0,FALSE,0.97,1086,bHoJWStx,-0.06
49,194774,Doctorate,Bachelor's,6,TRUE,64363,Suburban,3.9,376,704,0,2,200,Mid Tier,Business,0,TRUE,0.84,1080,iSOkHIqi,-0.98
50,131391,High School,Bachelor's,6,TRUE,56084,Urban,2.31,241,317,1,2,180,Mid Tier,Arts,0,TRUE,0.58,558,duKjqZmq,-1.38
51,80017,Less than High School,Some College,5,TRUE,78442,Rural,2.19,793,203,3,2,110,Mid Tier,STEM,0,TRUE,0.73,996,nQqSbLSg,-0.2
52,82415,High School,Some College,3,FALSE,50302,Suburban,3.68,364,694,1,3,180,Mid Tier,Arts,20000,TRUE,0.67,1058,xWwbnyiN,0.12
53,91727,High School,High School,3,FALSE,141261,Urban,3.56,256,383,1,1,150,Lower Tier,STEM,1000,FALSE,0.66,639,mHVCpBnC,0.53
54,161245,Some College,Less than High School,3,FALSE,75652,Urban,3.62,607,618,6,2,40,Top Tier,Arts,5000,TRUE,0.61,1225,pyBphrgC,1.25
55,27009,High School,Less than High School,6,TRUE,105685,Urban,2.7,465,289,0,2,20,Top Tier,Business,5000,TRUE,0.9,754,VmmGrKAZ,-1.33
56,154783,Less than High School,Some College,6,FALSE,142452,Rural,2.49,589,380,0,1,160,Mid Tier,STEM,1000,TRUE,0.84,969,NlIUATTN,1.09
57,141910,Some College,High School,5,FALSE,44542,Rural,2.19,303,521,5,2,40,Lower Tier,Business,5000,TRUE,0.81,824,NUtAHGqW,-0.1
58,50828,Bachelor's,Some College,6,FALSE,67946,Suburban,3.99,322,742,1,5,170,Mid Tier,Humanities,0,FALSE,0.52,1064,EzxJWIWS,-0.99
59,66996,High School,High School,2,FALSE,117104,Urban,2.7,205,513,3,0,80,Mid Tier,Arts,1000,TRUE,0.95,718,YAWiWyIy,0.3
60,112594,High School,Some College,6,FALSE,103045,Urban,2,754,615,0,4,110,Lower Tier,Social Sciences,10000,TRUE,0.53,1369,FLFdQqfu,0.12
61,141609,High School,Some College,6,TRUE,93194,Rural,2.54,705,478,6,1,10,Mid Tier,STEM,5000,TRUE,0.6,1183,KpiEZCEh,0.25
62,196907,Master's,High School,3,FALSE,138235,Rural,3.48,295,756,4,4,0,Mid Tier,Social Sciences,5000,FALSE,0.51,1051,ifoCCpqo,2.17
63,156718,High School,Bachelor's,2,FALSE,46103,Urban,2.45,326,778,3,3,20,Lower Tier,Social Sciences,0,TRUE,0.55,1104,PFTbrcKR,0.13
64,121968,High School,Some College,4,TRUE,109707,Suburban,2.63,591,770,8,3,140,Mid Tier,Business,1000,TRUE,0.73,1361,zsBHaaTK,1.01
65,172944,Bachelor's,Some College,5,FALSE,50360,Suburban,3.4,412,438,6,3,120,Top Tier,Social Sciences,1000,FALSE,0.87,850,mPWpJiuT,0.29
66,54105,Some College,Less than High School,3,TRUE,114140,Rural,3.15,659,346,2,2,50,Lower Tier,Social Sciences,0,FALSE,0.95,1005,mGjbbJcO,0.77
67,68832,Master's,Bachelor's,4,FALSE,100537,Urban,3.56,654,450,0,2,160,Mid Tier,Business,0,TRUE,0.68,1104,aENEnBUS,0.03
68,169069,High School,High School,6,FALSE,60793,Suburban,2.29,736,504,2,2,180,Mid Tier,Arts,1000,TRUE,0.97,1240,GClzPbiH,-0.95
69,144777,Bachelor's,High School,3,FALSE,105748,Suburban,2.89,461,691,0,2,160,Mid Tier,STEM,0,FALSE,0.96,1152,ktTVlWXN,0.53
70,63298,Some College,Less than High School,4,TRUE,95811,Suburban,2.81,701,282,0,2,130,Mid Tier,Humanities,0,FALSE,0.59,983,YQYFgVIG,0.24
71,27738,Some College,Bachelor's,5,FALSE,86381,Suburban,3.57,243,371,1,4,110,Mid Tier,STEM,5000,FALSE,0.79,614,ufhxMiAd,-0.59
72,45286,High School,Some College,5,FALSE,49423,Rural,2.54,421,503,0,3,50,Lower Tier,Arts,0,TRUE,0.65,924,FtVfwDTq,-0.95
73,58949,Bachelor's,Master's,3,FALSE,87156,Urban,3.94,766,400,4,2,70,Mid Tier,STEM,20000,TRUE,0.6,1166,MLQPrODQ,0.1
74,106292,Master's,Some College,4,FALSE,56994,Urban,3.38,484,304,6,3,70,Mid Tier,Arts,5000,TRUE,0.58,788,LIPoBmxU,0.1
75,55534,High School,Bachelor's,2,TRUE,72399,Suburban,3.34,509,337,0,4,190,Top Tier,STEM,0,TRUE,0.59,846,tLqhyeSj,-0.46
76,149484,Some College,Bachelor's,4,TRUE,44739,Urban,3.35,577,661,4,2,60,Mid Tier,Arts,10000,FALSE,0.81,1238,ImFWcgzI,0.33
77,21419,Master's,High School,2,TRUE,134448,Suburban,3.37,236,686,7,3,30,Top Tier,Arts,1000,FALSE,0.88,922,avLoqyYD,0.78
78,87588,High School,Doctorate,5,FALSE,69475,Rural,3.53,655,617,6,2,120,Mid Tier,STEM,0,TRUE,0.82,1272,xxdMvKNU,-1.25
79,112593,High School,High School,6,FALSE,128119,Rural,3.29,223,513,5,3,180,Lower Tier,Business,1000,FALSE,0.64,736,PApdlUbr,-0.52
80,20283,High School,Bachelor's,6,FALSE,105740,Urban,3.31,480,381,0,2,170,Mid Tier,Arts,10000,FALSE,0.89,861,xUSwLJAr,-1.73
81,124689,Bachelor's,High School,6,TRUE,34535,Urban,2.93,386,628,5,1,180,Mid Tier,Humanities,0,FALSE,0.74,1014,sycmDewZ,-1.76
82,48423,Doctorate,High School,6,FALSE,85189,Urban,2.93,562,548,4,2,120,Mid Tier,Humanities,5000,TRUE,0.52,1110,NQvbzGVz,-1.76
83,84625,Bachelor's,High School,6,FALSE,40595,Rural,3.12,431,254,1,0,70,Mid Tier,Arts,1000,TRUE,0.54,685,tYFMALOq,-2.05
84,136214,Some College,Some College,5,TRUE,49758,Suburban,2.92,243,444,4,2,60,Mid Tier,Social Sciences,10000,TRUE,0.54,687,eTRwjvNq,-0.07
85,159648,Some College,High School,3,FALSE,106847,Suburban,2.69,636,360,2,1,110,Mid Tier,Arts,5000,FALSE,0.54,996,eeWJJgWO,1.69
86,121456,High School,High School,6,TRUE,49827,Suburban,3.94,259,666,5,2,170,Lower Tier,Business,10000,TRUE,0.65,925,QGuuRBTz,-1.57
87,62067,Master's,High School,2,TRUE,48199,Urban,2.19,561,652,1,3,20,Mid Tier,Humanities,1000,TRUE,0.92,1213,mSLaRzdn,-0.08
88,36196,Bachelor's,High School,3,FALSE,40799,Suburban,3.61,672,509,0,2,30,Mid Tier,Humanities,0,FALSE,0.61,1181,fWIGcKMe,-1.46
89,35410,Some College,Some College,3,FALSE,45285,Urban,2.24,331,705,3,1,20,Lower Tier,STEM,1000,TRUE,0.61,1036,HiDEskLS,-0.4
90,74939,High School,High School,2,FALSE,109272,Urban,2.95,293,752,1,4,10,Top Tier,Arts,1000,TRUE,0.85,1045,oWZjqKtJ,0.26
91,140137,Master's,Some College,5,FALSE,101249,Rural,2.08,235,632,1,4,100,Mid Tier,Business,10000,TRUE,0.89,867,UhaxMqeB,0.71
92,20043,High School,Some College,3,TRUE,102962,Suburban,3.87,232,400,4,3,90,Mid Tier,Social Sciences,1000,FALSE,0.71,632,bEqphJEy,0.28
93,57543,Less than High School,Bachelor's,3,FALSE,86557,Suburban,2.41,428,359,4,1,30,Lower Tier,Humanities,5000,FALSE,0.5,787,fPDcxooW,-0.26
94,187946,Bachelor's,Bachelor's,6,FALSE,39442,Urban,3.35,720,766,4,2,180,Mid Tier,Business,0,FALSE,0.52,1486,cjPbAMLP,-1.74
95,186616,High School,High School,6,FALSE,96996,Urban,3.29,400,366,1,2,20,Mid Tier,STEM,0,TRUE,0.97,766,IKebHYZM,-0.26
96,152137,Bachelor's,Less than High School,2,FALSE,35555,Rural,2.92,365,248,5,5,150,Mid Tier,Social Sciences,1000,FALSE,0.94,613,RWemifjm,0.27
97,79953,Bachelor's,High School,3,FALSE,54583,Urban,2.92,206,550,1,0,60,Mid Tier,Business,5000,TRUE,0.7,756,vammECiR,-0.84
98,112711,High School,High School,5,TRUE,86648,Urban,2.31,743,325,0,2,200,Mid Tier,Social Sciences,0,TRUE,0.83,1068,EUYaWCWv,-0.76
99,153915,Master's,Some College,6,FALSE,55083,Rural,3.06,312,241,3,4,60,Top Tier,Arts,20000,TRUE,0.81,553,rrRdKrCX,-0.18
100,131449,Some College,Bachelor's,2,FALSE,68718,Rural,3.27,770,656,5,2,150,Mid Tier,Arts,5000,FALSE,0.6,1426,MnYpurjV,1.22
101,132724,High School,Some College,2,FALSE,95040,Suburban,2.95,484,345,5,2,50,Lower Tier,Arts,0,FALSE,0.73,829,tWPwZEDn,1.61
102,59088,Some College,Bachelor's,6,FALSE,43643,Urban,3.4,541,386,3,3,140,Lower Tier,Social Sciences,1000,TRUE,0.55,927,DpNBvVkw,-1.26
103,58982,Some College,Some College,4,FALSE,90882,Rural,2.19,732,336,4,2,140,Mid Tier,Business,0,TRUE,0.99,1068,MckSSLBS,0.13
104,90010,High School,Some College,3,FALSE,132112,Suburban,2.52,250,344,1,4,110,Mid Tier,Business,1000,TRUE,0.65,594,mmUfUlIS,1.38
105,189642,Bachelor's,Bachelor's,2,FALSE,88721,Urban,3.67,564,429,5,3,140,Mid Tier,Social Sciences,5000,FALSE,0.56,993,EQMJDiTt,0.4
106,193269,Some College,High School,5,FALSE,86833,Urban,2.32,760,323,2,1,90,Lower Tier,Arts,10000,FALSE,0.57,1083,cVxrRaQR,1.01
107,153174,Less than High School,Some College,3,FALSE,53841,Rural,3.53,429,607,6,2,90,Mid Tier,Humanities,0,TRUE,0.59,1036,DmzECLPt,0.86
108,151984,Bachelor's,Less than High School,5,FALSE,89049,Suburban,2.18,376,719,4,4,0,Mid Tier,Social Sciences,1000,TRUE,0.96,1095,ElxdQVxe,-0.02
109,116437,Less than High School,Some College,3,TRUE,103654,Urban,2.81,568,727,5,1,90,Mid Tier,STEM,0,TRUE,0.65,1295,pAeMcLsa,1.22
110,20409,Master's,Bachelor's,2,FALSE,117709,Suburban,2.38,601,765,1,1,180,Top Tier,Business,10000,FALSE,0.69,1366,mnpDtQsL,0.52
111,129609,Some College,Some College,6,TRUE,93327,Urban,2.88,583,717,0,0,30,Lower Tier,STEM,0,TRUE,0.61,1300,eaBaUHjF,0.14
112,170624,Bachelor's,Doctorate,4,TRUE,109548,Rural,3.72,674,244,3,1,20,Mid Tier,Humanities,0,TRUE,0.75,918,gZjrlNpx,0.15
113,155274,Master's,Some College,5,TRUE,138355,Urban,3.58,712,269,6,1,80,Top Tier,Business,0,FALSE,0.67,981,MVsHdNBY,1.39
114,101492,Some College,Doctorate,3,FALSE,74577,Urban,3.36,714,335,0,5,160,Mid Tier,Business,5000,FALSE,0.89,1049,lZYorhzR,0.66
115,116442,High School,Doctorate,2,TRUE,67084,Suburban,3.53,752,560,4,1,90,Mid Tier,STEM,0,FALSE,0.75,1312,kvQoRUOM,0.05
116,116728,High School,Less than High School,6,FALSE,45396,Urban,2.35,603,413,3,1,140,Mid Tier,Arts,0,TRUE,0.85,1016,VsIifnza,-1.34
117,20249,Less than High School,High School,4,FALSE,128945,Urban,2,692,242,1,3,10,Mid Tier,Humanities,0,TRUE,0.72,934,YxEXReEI,-0.36
118,84020,Less than High School,High School,5,FALSE,135774,Urban,2.11,730,748,3,3,40,Lower Tier,Arts,5000,TRUE,0.98,1478,xQWbGPvu,0
119,130184,High School,Master's,6,FALSE,50789,Rural,3.8,540,213,6,2,40,Mid Tier,Social Sciences,10000,FALSE,0.73,753,njZrABTE,-0.8
120,169210,Master's,Bachelor's,5,FALSE,35227,Suburban,2.01,422,709,1,1,30,Lower Tier,Social Sciences,0,TRUE,0.84,1131,pBKkMwaB,-0.3
121,84210,Some College,Bachelor's,3,FALSE,102975,Urban,3.24,464,795,0,2,170,Mid Tier,Humanities,0,TRUE,0.75,1259,BeIsPswu,0.9
122,93914,Master's,Bachelor's,6,FALSE,139935,Suburban,2.35,637,516,3,1,50,Mid Tier,Humanities,0,FALSE,0.99,1153,AdFJJlsU,0.14
123,123226,Bachelor's,Bachelor's,5,TRUE,47567,Suburban,2.53,561,799,3,3,100,Mid Tier,Social Sciences,0,TRUE,0.58,1360,lFIZiVPR,-1.89
124,126142,Bachelor's,Master's,5,FALSE,65310,Urban,3.37,241,505,0,2,120,Lower Tier,Business,1000,TRUE,0.64,746,svIBegQz,-0.28
125,149538,Less than High School,Bachelor's,5,FALSE,129325,Suburban,2.42,204,293,7,1,80,Mid Tier,Humanities,1000,FALSE,0.93,497,xmbwqWke,0.54
126,91095,Less than High School,Master's,4,TRUE,147723,Suburban,2.23,271,697,3,3,40,Mid Tier,Social Sciences,10000,FALSE,0.53,968,NYLOBzGD,0.93
127,185457,Bachelor's,Bachelor's,4,FALSE,111093,Urban,3.4,563,409,5,1,40,Lower Tier,Social Sciences,0,FALSE,0.95,972,DInQKdry,-0.02
128,193263,Less than High School,Bachelor's,5,TRUE,80266,Urban,3.24,299,533,5,4,200,Lower Tier,Humanities,1000,FALSE,0.69,832,SpKPTJeO,0.25
129,62034,High School,High School,6,FALSE,75877,Urban,3.94,472,700,2,2,70,Mid Tier,Humanities,1000,FALSE,0.52,1172,DftnnTLA,-1.76
130,150410,Bachelor's,Bachelor's,6,FALSE,64881,Urban,3.92,687,376,5,2,10,Top Tier,Arts,10000,FALSE,0.79,1063,eCBSsdKt,-1.73
131,182654,High School,Bachelor's,3,FALSE,83334,Urban,3.7,626,409,0,2,180,Mid Tier,Humanities,0,TRUE,0.85,1035,dcQsRpWo,0.57
132,128625,Some College,High School,2,FALSE,91972,Rural,2.03,769,367,1,2,120,Lower Tier,Business,5000,FALSE,0.89,1136,KnVSZRQk,1.52
133,133671,Some College,Bachelor's,5,FALSE,106108,Urban,2.66,504,348,0,3,50,Mid Tier,Humanities,20000,TRUE,0.99,852,gFAtVnAe,0.72
134,188729,High School,Less than High School,4,FALSE,138731,Suburban,2.9,420,608,2,2,80,Mid Tier,STEM,0,FALSE,0.94,1028,nSHobTjh,1.41
135,173087,Bachelor's,High School,2,FALSE,114346,Urban,2.46,635,760,0,3,120,Mid Tier,Social Sciences,1000,TRUE,0.73,1395,ANGNkizh,1.28
136,124368,Some College,Some College,3,TRUE,34221,Rural,2.33,338,366,0,2,0,Mid Tier,Business,0,TRUE,0.71,704,smCVeVrv,0.29
137,167853,High School,Some College,6,FALSE,137090,Suburban,2.32,494,715,1,3,40,Top Tier,Humanities,10000,TRUE,0.97,1209,AXukFMJB,1.14
138,40469,High School,Master's,6,FALSE,75485,Rural,3.66,405,716,3,2,160,Mid Tier,STEM,0,TRUE,0.69,1121,JoOSJjUo,-1.31
139,157611,Bachelor's,High School,5,FALSE,70999,Urban,3.6,278,610,7,4,50,Mid Tier,Business,5000,FALSE,0.72,888,WRSIcfcP,-0.56
140,132250,Bachelor's,High School,6,FALSE,103900,Urban,3,394,455,8,3,70,Top Tier,Social Sciences,0,TRUE,0.67,849,UPUgQXjr,-0.68
141,46720,High School,Master's,6,FALSE,62212,Rural,2.56,701,272,3,1,110,Mid Tier,Humanities,10000,TRUE,0.6,973,ULOWhyFE,-1.44
142,34448,Master's,Some College,2,FALSE,97049,Suburban,3.28,209,298,4,4,200,Mid Tier,Humanities,1000,FALSE,0.88,507,AEZOxTTj,0.69
143,103533,Bachelor's,Some College,6,FALSE,149758,Rural,3.29,673,686,1,2,110,Mid Tier,STEM,0,FALSE,0.73,1359,nDurqmOb,0.71
144,160286,Some College,Bachelor's,2,TRUE,95539,Suburban,3.14,704,598,5,1,50,Mid Tier,STEM,0,FALSE,0.53,1302,jSkNWYky,1.88
145,152035,High School,High School,5,FALSE,51799,Urban,3.22,212,749,3,4,40,Mid Tier,Business,0,TRUE,0.88,961,HeVeJAil,-0.89
146,167101,High School,Less than High School,2,FALSE,74787,Rural,3.18,786,700,6,4,170,Top Tier,Business,0,TRUE,0.89,1486,eOeZvXdO,0.98
147,50629,High School,Some College,5,FALSE,104830,Rural,2.15,504,239,4,3,110,Lower Tier,Social Sciences,1000,TRUE,0.88,743,jtmtTVkF,-0.1
148,190050,Bachelor's,Master's,3,FALSE,45248,Urban,3.26,214,552,0,1,30,Mid Tier,Humanities,0,FALSE,0.55,766,eLCywFZb,0.75
149,72852,Bachelor's,Some College,6,FALSE,132758,Rural,3.2,475,747,2,1,170,Top Tier,Business,5000,FALSE,0.97,1222,DMpHKmPi,0.16
150,46833,High School,High School,6,FALSE,149747,Suburban,2.33,634,344,1,1,180,Mid Tier,Arts,1000,TRUE,0.91,978,DYovngGf,-0.84
151,149488,Master's,Less than High School,2,TRUE,30541,Suburban,2.47,666,532,1,4,130,Lower Tier,Arts,1000,TRUE,0.89,1198,UwewzAvK,0.5
152,78335,High School,Some College,5,TRUE,38800,Suburban,3.8,388,535,0,3,20,Lower Tier,Arts,1000,FALSE,0.71,923,FrQuoUky,-0.79
153,160186,Doctorate,Bachelor's,4,FALSE,137505,Urban,2.54,799,699,0,2,40,Top Tier,Business,0,FALSE,0.64,1498,cpSgobjo,0.45
154,90999,Less than High School,High School,4,FALSE,130486,Suburban,3.87,621,318,3,5,170,Mid Tier,Humanities,0,TRUE,0.98,939,YEbTiEkL,0.35
155,142147,Bachelor's,High School,2,FALSE,125955,Suburban,3.61,317,582,5,3,130,Mid Tier,Social Sciences,1000,FALSE,0.79,899,vbludNXl,1.15
156,159649,Master's,Some College,4,TRUE,46076,Urban,2.88,347,378,1,2,190,Mid Tier,Social Sciences,0,FALSE,0.55,725,gRuqhitX,0.45
157,53816,Bachelor's,High School,6,FALSE,68243,Rural,2.28,532,230,1,3,30,Lower Tier,STEM,0,TRUE,0.83,762,JGPgwrJA,-1.95
158,25235,Bachelor's,High School,5,FALSE,32737,Rural,2.86,311,770,4,2,10,Lower Tier,Arts,0,FALSE,0.66,1081,eEbRcyvQ,-2.39
159,44428,Less than High School,High School,2,FALSE,68917,Urban,3.93,257,603,2,0,190,Mid Tier,Humanities,1000,TRUE,0.83,860,JSxZBofL,-0.28
160,142430,High School,Doctorate,3,FALSE,97188,Urban,2.07,593,359,0,2,200,Lower Tier,STEM,5000,FALSE,0.79,952,uZfGLwbs,0.38
161,188268,Bachelor's,Some College,2,TRUE,96328,Suburban,2.54,584,457,3,5,160,Top Tier,Arts,1000,FALSE,0.99,1041,likaGVUU,2.16
162,119089,Bachelor's,Doctorate,5,FALSE,147903,Urban,3.13,459,523,3,4,180,Lower Tier,Arts,0,TRUE,0.81,982,rnLOZhap,-0.15
163,128318,Bachelor's,Bachelor's,6,FALSE,148526,Rural,2.94,780,347,3,0,10,Lower Tier,Social Sciences,0,FALSE,0.73,1127,UtnjfZLN,-0.74
164,55459,Bachelor's,Less than High School,5,FALSE,118247,Suburban,2.02,695,627,1,1,10,Mid Tier,Business,0,TRUE,0.54,1322,bXVMqvAf,-0.53
165,116343,High School,High School,3,FALSE,129387,Rural,3.07,714,352,2,3,80,Mid Tier,Arts,0,TRUE,0.79,1066,UeexwyFQ,0.6
166,52320,High School,Bachelor's,3,TRUE,36090,Suburban,2.84,739,503,6,1,40,Mid Tier,Humanities,0,TRUE,0.73,1242,qYonHQMn,-1.37
167,101340,High School,High School,2,TRUE,58139,Suburban,2.94,715,319,2,4,80,Mid Tier,STEM,20000,TRUE,0.97,1034,EnTBUWQE,-0.22
168,77070,Bachelor's,Some College,2,TRUE,60614,Urban,2.14,375,599,4,1,60,Lower Tier,Arts,5000,TRUE,0.53,974,ptBswcKj,0.57
169,40911,Some College,Some College,6,FALSE,64475,Rural,2.39,509,323,3,5,180,Top Tier,Business,20000,TRUE,0.58,832,TIHTYUfe,-1.13
